File,Point,Meaning,Example Answers,Funder,DMP Section,DMP Question
datasets_info,1. Will you generate/collect new data and/or make use of existing data? State the reasons and specify how you will use existing data.,"Please, state the following in your answer:

* If there are existing data or not about your topic.
* If there are restrictions or costs on the reuse and share of third-party data (specify the details in the next questions).
* If re-use of any existing data has been considered but discarded and why (ex: incomplete data, data not reusable for legal reasons etc...).
* How existing data will be used: will you always use a specific version or update to the latest versions?","* I will re-use existing open access datasets on [add your topic] by combining them with my new data; no limits for sharing and re-use.
* I will only generate new data; existing data on [this topic] are sparse and inadequate because [give reasons].
* I will re-use only open access metadata of [Dataset Name] with closed access data.
* I will pay [X]â‚¬ to access [Dataset Name] from [Company Name]: data will not be shared, only metadata will be open access.",FWO,Data description,Will you generate/collect new data and/or make use of existing data?
datasets_info,1. Will you generate/collect new data and/or make use of existing data? State the reasons and specify how you will use existing data.,"Please, state the following in your answer:

* If there are existing data or not about your topic.
* If there are restrictions or costs on the reuse and share of third-party data (specify the details in the next questions).
* If re-use of any existing data has been considered but discarded and why (ex: incomplete data, data not reusable for legal reasons etc...).
* How existing data will be used: will you always use a specific version or update to the latest versions?","* I will re-use existing open access datasets on [add your topic] by combining them with my new data; no limits for sharing and re-use.
* I will only generate new data; existing data on [this topic] are sparse and inadequate because [give reasons].
* I will re-use only open access metadata of [Dataset Name] with closed access data.
* I will pay [X]â‚¬ to access [Dataset Name] from [Company Name]: data will not be shared, only metadata will be open access.",BELSPO,Data description,Will you generate/collect new data and/or make use of existing data?
datasets_info,1. Will you generate/collect new data and/or make use of existing data? State the reasons and specify how you will use existing data.,"Please, state the following in your answer:

* If there are existing data or not about your topic.
* If there are restrictions or costs on the reuse and share of third-party data (specify the details in the next questions).
* If re-use of any existing data has been considered but discarded and why (ex: incomplete data, data not reusable for legal reasons etc...).
* How existing data will be used: will you always use a specific version or update to the latest versions?","* I will re-use existing open access datasets on [add your topic] by combining them with my new data; no limits for sharing and re-use.
* I will only generate new data; existing data on [this topic] are sparse and inadequate because [give reasons].
* I will re-use only open access metadata of [Dataset Name] with closed access data.
* I will pay [X]â‚¬ to access [Dataset Name] from [Company Name]: data will not be shared, only metadata will be open access.",ERC,Summary,collected/generated dataset
datasets_info,1. Will you generate/collect new data and/or make use of existing data? State the reasons and specify how you will use existing data.,"Please, state the following in your answer:

* If there are existing data or not about your topic.
* If there are restrictions or costs on the reuse and share of third-party data (specify the details in the next questions).
* If re-use of any existing data has been considered but discarded and why (ex: incomplete data, data not reusable for legal reasons etc...).
* How existing data will be used: will you always use a specific version or update to the latest versions?","* I will re-use existing open access datasets on [add your topic] by combining them with my new data; no limits for sharing and re-use.
* I will only generate new data; existing data on [this topic] are sparse and inadequate because [give reasons].
* I will re-use only open access metadata of [Dataset Name] with closed access data.
* I will pay [X]â‚¬ to access [Dataset Name] from [Company Name]: data will not be shared, only metadata will be open access.",H2020,Data Summary,Specify if existing data is being re-used (if any) and how
datasets_info,1. Will you generate/collect new data and/or make use of existing data? State the reasons and specify how you will use existing data.,"Please, state the following in your answer:

* If there are existing data or not about your topic.
* If there are restrictions or costs on the reuse and share of third-party data (specify the details in the next questions).
* If re-use of any existing data has been considered but discarded and why (ex: incomplete data, data not reusable for legal reasons etc...).
* How existing data will be used: will you always use a specific version or update to the latest versions?","* I will re-use existing open access datasets on [add your topic] by combining them with my new data; no limits for sharing and re-use.
* I will only generate new data; existing data on [this topic] are sparse and inadequate because [give reasons].
* I will re-use only open access metadata of [Dataset Name] with closed access data.
* I will pay [X]â‚¬ to access [Dataset Name] from [Company Name]: data will not be shared, only metadata will be open access.",HorizonEurope,Data Summary,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.
datasets_info,1. Will you generate/collect new data and/or make use of existing data? State the reasons and specify how you will use existing data.,"Please, state the following in your answer:

* If there are existing data or not about your topic.
* If there are restrictions or costs on the reuse and share of third-party data (specify the details in the next questions).
* If re-use of any existing data has been considered but discarded and why (ex: incomplete data, data not reusable for legal reasons etc...).
* How existing data will be used: will you always use a specific version or update to the latest versions?","* I will re-use existing open access datasets on [add your topic] by combining them with my new data; no limits for sharing and re-use.
* I will only generate new data; existing data on [this topic] are sparse and inadequate because [give reasons].
* I will re-use only open access metadata of [Dataset Name] with closed access data.
* I will pay [X]â‚¬ to access [Dataset Name] from [Company Name]: data will not be shared, only metadata will be open access.",ScienceEurope,1a. How will new data be collected or produced and/or how will existing data be re-used?,â€¢ Briefly state the reasons if the re-use of any existing data sources has been considered but discarded. â€¢ State any constraints on re-use of existing data if there are any.
datasets_info,2. Name and list here all datasets that will be used and/or generated in this project. Add a reference for existing datasets.,"The name of a dataset should be short and unique in this DMP; you could also assign a unique number or ID to each dataset in this DMP. The definition of what is a dataset is extremely project-specific. Try to define each dataset based on:
* the used technique (RNA-seq, Imaging, LC/MS etc...)
* and/or the repository that could be used for data publication
* and/or sample origin (organisms, literature, etc...)
* and/or collection methods (experiment, simulation, survey, questionnaire...)

Reference for existing dataset: any identifier or accession number for keeping track of data provenance.","* Existing datasets: [name and access number or reference or DOI]. New datasets: [your analysis type] by [your technique] on [your organism]. Software [Name] for [your application].
* New: RNA-seq on Arabidopsis. Phenotype analysis by imaging. Existing: Arabidopsis dataset E-MTAB-XXXX.
* New: Methylation by LC/MS.
* New: Biomodel of X protein complex.",ERC,Summary,dataset reference and name
datasets_info,2. Name and list here all datasets that will be used and/or generated in this project. Add a reference for existing datasets.,"The name of a dataset should be short and unique in this DMP; you could also assign a unique number or ID to each dataset in this DMP. The definition of what is a dataset is extremely project-specific. Try to define each dataset based on:
* the used technique (RNA-seq, Imaging, LC/MS etc...)
* and/or the repository that could be used for data publication
* and/or sample origin (organisms, literature, etc...)
* and/or collection methods (experiment, simulation, survey, questionnaire...)

Reference for existing dataset: any identifier or accession number for keeping track of data provenance.","* Existing datasets: [name and access number or reference or DOI]. New datasets: [your analysis type] by [your technique] on [your organism]. Software [Name] for [your application].
* New: RNA-seq on Arabidopsis. Phenotype analysis by imaging. Existing: Arabidopsis dataset E-MTAB-XXXX.
* New: Methylation by LC/MS.
* New: Biomodel of X protein complex.",ScienceEurope,1a. How will new data be collected or produced and/or how will existing data be re-used?,Explain how data provenance will be documented.
datasets_info,"3. Per dataset, state its purpose, explain the relation to the objectives of the project, specify to whom it will be useful.","A description of the purpose of the data to be collected/generated will help reviewers understand the impact of your research on academic community, industry and society.","* Datasets [Name] and [Name] are needed to evaluate the role of [your factor] on [your variable], as described in the objective number [X] in this project. Other researchers and industries involved in [list topics] will be interested in these data.",H2020,Data Summary,State the purpose of the data collection/generation. Explain the relation to the objectives of the project. Outline the data utility: to whom will it be useful
datasets_info,"3. Per dataset, state its purpose, explain the relation to the objectives of the project, specify to whom it will be useful.","A description of the purpose of the data to be collected/generated will help reviewers understand the impact of your research on academic community, industry and society.","* Datasets [Name] and [Name] are needed to evaluate the role of [your factor] on [your variable], as described in the objective number [X] in this project. Other researchers and industries involved in [list topics] will be interested in these data.",HorizonEurope,Data Summary,"What is the purpose of the data generation or re-use and its relation to the objectives of the project? To whom might your data be useful ('data utility'), outside your project?"
